"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"quantreg","quantreg","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.98",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"QuickJSR","QuickJSR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,NA,NA,NA,"knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"R.cache","R.cache","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.16.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"R.methodsS3","R.methodsS3","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"R.oo","R.oo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.26.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.2)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"R.utils","R.utils","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.12.3",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.0"
"R6","R6","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ragg","ragg","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.2",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"randomForest","randomForest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.7-1.1",NA,"R (>= 4.1.0), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"ranger","ranger","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.16.0",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"rapidjsonr","rapidjsonr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"rappdirs","rappdirs","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"rapportools","rapportools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1",NA,NA,"plyr, pander, reshape2, MASS",NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"no","4.4.0"
"raster","raster","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.6-26",NA,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.7-29)","Rcpp","ncdf4, igraph, tcltk, parallel, rasterVis, MASS, sf,
tinytest, gstat, fields, exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"rattle","rattle","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.5.1",NA,"R (>= 3.5.0), tibble, bitops","stats, utils, ggplot2, grDevices, graphics, magrittr, methods,
stringi, stringr, tidyr, dplyr, XML, rpart.plot",NA,"pmml (>= 1.2.13), colorspace, ada, amap, arules, arulesViz,
biclust, cairoDevice, cba, cluster, corrplot, descr, doBy,
e1071, ellipse, fBasics, foreign, fpc, gdata, ggdendro, gplots,
grid, gridExtra, gtools, Hmisc, janitor, kernlab, Matrix, mice,
nnet, party, plyr, psych, RGtk2, randomForest, RColorBrewer,
readxl, reshape, ROCR, RODBC, rpart, scales, SnowballC,
survival, timeDate, tm, xgboost",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"rcmdcheck","rcmdcheck","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.4.0"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.13",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"RcppArmadillo","RcppArmadillo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","14.0.0-1",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.8), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"RcppEigen","RcppEigen","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.4.0.2",NA,"R (>= 3.6.0)","Rcpp (>= 0.11.0), stats, utils","Rcpp","Matrix, inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"RcppParallel","RcppParallel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.1.9",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"RcppProgress","RcppProgress","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"RcppTOML","RcppTOML","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"RCurl","RCurl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.98-1.16",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"reactable","reactable","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.4",NA,"R (>= 3.1)","digest, htmltools (>= 0.5.2), htmlwidgets (>= 1.5.3),
jsonlite, reactR",NA,"covr, crosstalk, dplyr, fontawesome, knitr, leaflet, MASS,
rmarkdown, shiny, sparkline, testthat, tippy, V8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"reactR","reactR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.0",NA,NA,"htmltools",NA,"htmlwidgets (>= 1.5.3), rmarkdown, shiny, V8, knitr, usethis,
jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"readr","readr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.5",NA,"R (>= 3.6)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.3",NA,"R (>= 3.6)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"recipes","recipes","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.0",NA,"dplyr (>= 1.1.0), R (>= 3.6)","cli, clock (>= 0.6.1), generics (>= 0.1.2), glue, gower,
hardhat (>= 1.4.0), ipred (>= 0.9-12), lifecycle (>= 1.0.3),
lubridate (>= 1.8.0), magrittr, Matrix, purrr (>= 1.0.0), rlang
(>= 1.1.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 1.2.0), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.0",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"rematch2","rematch2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"remotes","remotes","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, covr, curl, git2r (>= 0.23.0), knitr,
mockery, pingr, pkgbuild (>= 1.0.1), rmarkdown, rprojroot,
testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"renv","renv","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.7",NA,NA,"utils",NA,"BiocManager, cli, covr, cpp11, devtools, gitcreds, jsonlite,
knitr, miniUI, packrat, pak, R6, remotes, reticulate,
rmarkdown, rstudioapi, shiny, testthat, uuid, waldo, yaml,
webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"repr","repr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.7",NA,"R (>= 3.0.1)","utils, grDevices, htmltools, jsonlite, pillar (>= 1.4.0),
base64enc",NA,"methods, highr, Cairo, stringr, testthat (>= 3.0.0), leaflet","data.table, tibble, htmlwidgets, vegalite, plotly, geojsonio","GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.1",NA,"R (>= 3.6)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.2.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"reproj","reproj","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.7.0",NA,"R (>= 3.2.5)","proj4, crsmeta (>= 0.3.0), PROJ (>= 0.4.5)",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.9",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"reticulate","reticulate","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.39.0",NA,"R (>= 3.5)","Matrix, Rcpp (>= 1.0.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, rlang, withr","Rcpp","callr, knitr, glue, cli, rmarkdown, pillar, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.4.1"
"rgl","rgl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,"R (>= 3.6.0)","graphics, grDevices, stats, utils, htmlwidgets (>= 1.6.0),
htmltools, knitr (>= 1.33), jsonlite (>= 0.9.20), magrittr, R6,
base64enc, mime",NA,"MASS, markdown (>= 1.12), rmarkdown (>= 2.16), deldir (>=
1.0-4), orientlib, lattice, misc3d, magick, plotrix (>= 3.7-3),
tripack, interp, alphashape3d, tcltk, js (>= 1.2), webshot2 (>=
0.1.0), downlit (>= 0.4.0), pkgdown (>= 2.0.0), extrafont,
shiny, manipulateWidget (>= 0.9.0), testthat, crosstalk, V8,
chromote, jpeg, png","waldo","GPL",NA,NA,NA,NA,"yes","4.4.0"
"RgoogleMaps","RgoogleMaps","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.1",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png",NA,"PBSmapping, RColorBrewer, leaflet, jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"rio","rio","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.2",NA,"R (>= 4.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.11.2), readxl (>= 0.1.1), tibble, writexl,
lifecycle, R.utils, readr",NA,"datasets, bit64, testthat, knitr, magrittr, clipr, fst,
hexView, jsonlite, pzfx, readODS (>= 2.1.0), rmarkdown, rmatio,
xml2 (>= 1.2.0), yaml, qs, arrow (>= 0.17.0), stringi, withr,
nanoparquet",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"rjson","rjson","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.22",NA,"R (>= 4.4.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"RJSONIO","RJSONIO","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-1.9",NA,NA,"methods",NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.4",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.28",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.43), methods, tinytex (>= 0.31), tools, utils, xfun (>=
0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, cleanrmd, withr (>= 2.4.2), xml2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"rmdformats","rmdformats","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.4",NA,NA,"knitr, rmarkdown, bookdown, htmltools",NA,"questionr, DT, palmerpenguins, ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"rnaturalearth","rnaturalearth","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,"R (>= 3.1.1)","httr (>= 1.1.0), jsonlite, sf (>= 0.3-4), terra, utils (>=
3.2.3)",NA,"devtools (>= 1.10.0), dplyr, ggplot2, ggrepel, knitr (>=
1.12.3), lifecycle (>= 1.0.3), pbapply, purrr, rlang,
rmarkdown, rnaturalearthdata (>= 0.1.0), rnaturalearthhires (>=
0.1.0), testthat (>= 0.9.1), tmap",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"rngtools","rngtools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"robustbase","robustbase","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.99-4",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata, doParallel, foreach, skewt","robustX, rrcov, matrixStats, quantreg, Hmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"rosm","rosm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.0",NA,NA,"curl, jpeg, png, wk, glue, progress, rlang",NA,"sp, plyr, raster, testthat (>= 3.0.0), withr, sf, terra,
abind, methods, jsonlite, tiff, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","7.3.2",NA,"R (>= 3.6)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 1.0.0), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.1.23","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"rpart.plot","rpart.plot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1.2",NA,"R (>= 3.4.0), rpart (>= 4.1-15)",NA,NA,"earth (>= 5.1.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.4",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rlang, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"rsconnect","rsconnect","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.1",NA,"R (>= 3.5.0)","cli, curl, digest, jsonlite, lifecycle, openssl (>= 2.0.0),
PKI, packrat (>= 0.6), renv (>= 1.0.0), rlang (>= 1.0.0),
rstudioapi (>= 0.5), tools, yaml (>= 2.1.5)",NA,"Biobase, BiocManager, foreign, knitr, MASS, plumber (>=
0.3.2), quarto, RCurl, reticulate, rmarkdown (>= 1.1), shiny,
testthat (>= 3.1.9), webfakes, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"rstan","rstan","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.32.6",NA,"R (>= 3.4.0), StanHeaders (>= 2.32.0)","methods, stats4, inline (>= 0.3.19), gridExtra (>= 2.3), Rcpp
(>= 1.0.7), RcppParallel (>= 5.1.4), loo (>= 2.4.1), pkgbuild
(>= 1.2.0), QuickJSR, ggplot2 (>= 3.3.5)","Rcpp (>= 1.0.7), RcppEigen (>= 0.3.4.0.0), BH (>= 1.75.0-0),
StanHeaders (>= 2.32.0), RcppParallel (>= 5.1.4)","testthat (>= 3.0.4), parallel, KernSmooth, shinystan,
bayesplot, rmarkdown, rstantools, rstudioapi, Matrix, knitr,
coda, V8",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"rstantools","rstantools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4.0",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"rstatix","rstatix","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.7.2",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.16.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.4",NA,"R (>= 3.6)","cli, glue, httr (>= 0.5), lifecycle (>= 1.0.3), magrittr,
rlang (>= 1.1.0), selectr, tibble, xml2 (>= 1.3)",NA,"chromote, covr, knitr, R6, readr, repurrrsive, rmarkdown,
spelling, stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"s2","s2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","bit64, testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.4.0"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1-0",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"sass","sass","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.9",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"satellite","satellite","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.5",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), terra, tools, stats4","Rcpp","devtools, knitr, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"scales","scales","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.0",NA,"R (>= 3.6)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, munsell (>=
0.5), R6, RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"seasonal","seasonal","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9.0",NA,"R (>= 2.15)","x13binary",NA,"seasonalview (>= 0.1.3), testthat (>= 3.0.0), covr, knitr,
rmarkdown, spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"secretbase","secretbase","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,"R (>= 3.5)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.4.0"
"servr","servr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.31",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun (>= 0.42), jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"sf","sf","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-16",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, nanoarrow, covr, dplyr (>= 1.0.0), ggplot2, knitr,
lwgeom (>= 0.2-14), maps, mapview, Matrix, microbenchmark,
odbc, pbapply, pillar, pool, raster, rlang, rmarkdown,
RPostgres (>= 1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4),
spatstat (>= 2.0-1), spatstat.geom, spatstat.random,
spatstat.linnet, spatstat.utils, stars (>= 0.2-0), terra,
testthat (>= 3.0.0), tibble (>= 1.4.1), tidyr (>= 1.2.0),
tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk (>= 0.9.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"sfheaders","sfheaders","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.4",NA,"R (>= 3.0.2)","Rcpp (>= 1.0.10)","geometries (>= 0.2.4), Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
